TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition,Notes
Backlight_MinBrightness_PWMMode_VBAT4V3,Common:relay_switch,,,,,,"{""subsubtestname"":""DIS_Connect_USB_power_DEBUG"",""netname"":""VBUS_OUTPUT_CTL"",""state"":""OFF"",""record"":""NO""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_200MS_1"",""delay"":""200"",""record"":""NO""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""CC_Disconn"",""netname"":""VDM_CC1"",""state"":""DISCONNECT"",""record"":""NO""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_1000MS_1"",""delay"":""1000"",""record"":""NO""}",,,,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"": ""Enter_Test_Mode_Sera"",""record"":""NO""}",,,reg select pmu;reg write 0x3100 0x61 0x45 0x72 0x4F;reg write 0x261d 0x01,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"": ""Read_Reg_0x6862"",""pattern"": ""0x6862%s*%=%>%s*(0x%x%x)"",""attribute"": ""Read_Reg_0x6862_Backlight"",""mark"": ""1"",""timeout"": ""1.5"",""record"":""NO""}",,,reg read 0x6862 1,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"": ""Turn_Off_Backlight_LED"",""pattern"": ""OK"",""record"":""NO""}",,,bl -o,,,
Backlight_MinBrightness_PWMMode_VBAT3V2,Common:power_supply,,,,,,"{""subsubtestname"":""BATT_Power_3V2_DEBUG"",""powertype"":""batt"",""record"":""NO""}",,,3200,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_200MS_2"",""delay"":""200"",""record"":""NO""}",,,,,,
,Common:read_voltage,,,[BATT_CURRENT_BIG_OFF_3V2],,,"{""subsubtestname"":""IBATT_backlight_OFF_DEBUG"",""netname"":""BATT_CURRENT_BIG"",""unit"":""mA""}",,,,,,
,Common:read_voltage,,,,,,"{""subsubtestname"":""VCC_MAIN_backlight_OFF_DEBUG"",""netname"":""PPVCC_MAIN""}",,,,,,
Backlight_MinBrightness_PWMMode_VBAT4V3_1,Common:power_supply,,,,,,"{""subsubtestname"":""BATT_Power_4V3"",""powertype"":""batt"",""record"":""NO""}",,,4300,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_200MS_2"",""delay"":""200"",""record"":""NO""}",,,,,,
,Common:read_voltage,,,[BATT_CURRENT_BIG_OFF_4V3],,,"{""subsubtestname"":""IBATT_backlight_OFF"",""netname"":""BATT_CURRENT_BIG"",""unit"":""mA""}",,,,,,
,Common:read_voltage,,,,,,"{""subsubtestname"":""VCC_MAIN_backlight_OFF"",""netname"":""PPVCC_MAIN""}",,,,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"": ""Turn_Backlight_LED_High"",""pattern"": ""OK"",""record"":""NO""}",,,bl -h,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_500MS"",""delay"":""500"",""record"":""NO""}",,,,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"": ""BACKLIGHT_PWM21K_To_Min"",""record"":""NO""}",,,reg write 0x6806 0x3f 0x02;wait 100,,,
,Common:read_voltage,,,(PPLED_BACK_REG),,,"{""subsubtestname"":""PPLED_BACK_REG"",""netname"":""PPLED_BACK_REG""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_1000MS"",""delay"":""1000"",""record"":""NO""}",,,,,,
,Common:set_ad8253_gain,,,(gain_factor),,,"{""subsubtestname"":""SET_LED_Gain_1000"",""netname"":""BL_LED_GAIN_SET"",""state"":""X1000"",""netname2"":""BL_LED_GAIN_SET"",""state2"":""LOCK"",""record"":""NO""}",,,,,,
,Common:read_voltage,,,(LED_IO1_CURRENT),,,"{""subsubtestname"":""Current_LEDIO1"",""netname"":""LED_IO1_CURRENT"",""gain"":""0.001""}",,,,,,
,Common:read_voltage,,,(LED_IO2_CURRENT),,,"{""subsubtestname"":""Current_LEDIO2"",""netname"":""LED_IO2_CURRENT"",""gain"":""0.001""}",,,,,,
,Common:read_voltage,,,(LED_IO3_CURRENT),,,"{""subsubtestname"":""Current_LEDIO3"",""netname"":""LED_IO3_CURRENT"",""gain"":""0.001""}",,,,,,
,Common:read_voltage,,,(LED_IO4_CURRENT),,,"{""subsubtestname"":""Current_LEDIO4"",""netname"":""LED_IO4_CURRENT"",""gain"":""0.001""}",,,,,,
