TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition,Notes
enableSampling,M:forceEnableSampling,,,,,,,,,,,,
StartProcessControl,Tech:setRTC,,,,,,"{""subsubtestname"": ""Set_RTC_Start"",""mark"":""1"",""timeout"":""2""}",,,,,,
,Tech:startCB,,,,,,"{""subsubtestname"": ""Start_Process_Control"",""dutPluginName"":""dut""}",,,,,,
FinishProcessControl,Tech:finishCB,,,,,,"{""subsubtestname"": ""Finish_Process_Control"",""dutPluginName"":""dut""}",,,,,,
Transition_Diags_DeadBattery2V5,Common:relay_switch,,,,,,"{""subsubtestname"":""VDM_CC1_TO_DISCONNECT"",""netname"":""VDM_CC1"",""state"":""DISCONNECT"",""record"":""NO""}",,,,,,
,Tech:forceDfuDischarge,,,,,,"{""subsubtestname"":""FORCE_DFU_SET_Discharge"",""record"":""NO""}",,,,,,
,Common:sendFixtureCmd,,,,,,"{""subsubtestname"":""UUT_UART_ENABLE"",""record"":""NO""}",,,uart_set.pin_contrl(UUT*enable),,,
,Common:sendFixtureCmd,,,,,,"{""subsubtestname"":""Bellatrix_UART_ENABLE"",""record"":""NO""}",,,uart_set.pin_contrl(SBELLATRIX*enable),,,
,Tech:dfu_set,,,,,,"{""subsubtestname"":""VBATT_SET_2V5"",""record"":""NO""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""UVP_Enable"",""netname"":""UVP_EN"",""state"":""CONNECT"",""record"":""NO""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_200MS"",""delay"":""200"",""record"":""NO""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""PP5V0_TO_VDM_BOARD"",""netname"":""PP_5V0_VDM"",""state"":""CONNECT"",""record"":""NO""}",,,,,,
,Common:power_supply,,,,,,"{""subsubtestname"":""Set_LDO_PP_5V0_ON"",""powertype"":""PP5V0"",""record"":""NO""}",,,5000,FA_ResetAll,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_1000MS_2"",""delay"":""1000"",""record"":""NO""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""VDM_CC1_TO_ACE_CC1"",""netname"":""VDM_CC1"",""state"":""TO_ACE_CC1"",""record"":""NO""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_1500MS_1"",""delay"":""1500"",""record"":""NO""}",,,,,,
,Common:dockconfig_writeRead,,,,,,"{""subsubtestname"":""Start_Dock"",""record"":""NO""}",,,restart_dc_manager-pl,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_100MS_1"",""delay"":""100"",""record"":""NO""}",,,,,,
,Common:dockconfig_writeRead,,,,,,"{""subsubtestname"":""Enable_DC"",""record"":""NO""}",,,enable_dc,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_1000MS_1"",""delay"":""1000"",""record"":""NO""}",,,,,,
,Common:dockconfig_writeRead,,,,,,"{""subsubtestname"":""Enalble_ADVDM"",""record"":""NO""}",,,enable_advdm,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_2000MS_1"",""delay"":""2000"",""record"":""NO""}",,,,,,
,Tech:contract_info,,,,,,"{""subsubtestname"":""PD_Contract_Check_9V""}",,,vdm.show_tps_register_by_addr(0x34),,,
,Common:vbus_check,,,,,,"{""subsubtestname"":""PPVBUS_FB_DEBUG_1"",""netname"":""PPVBUS_USB_EMI"",""unit"":""mV"",""reference"": ""9000""}",,,,,,
,Common:read_voltage,,,,,,"{""subsubtestname"":""PP3V3_ACE_LDO_IBoot"",""netname"":""PP3V3_ACE_LDO""}",,,,,,
,Common:read_voltage,,,,,,"{""subsubtestname"":""PP3V3_S2_ACE_PARROT"",""netname"":""PP3V3_S2_ACE_PARROT""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_1000MS_5"",""delay"":""1000"",""record"":""NO""}",,,,,,
,Tech:dock_detect,,,,,,"{""subsubtestname"":""Dock_Connect_Detect"",""record"":""NO""}",,,,,,
,Tech:detect,,,,,,"{""subsubtestname"":""DIAGS_ENTER""}",,,diags,FA_ResetAll,,
,Tech:diags_parse,,,,,,"{""subsubtestname"":""Diags_Version"",""attribute"":""Diags_Version""}",,,version,,,
,Common:read_voltage,,,,,,"{""subsubtestname"":""BATTERY_Voltage_FB"",""netname"":""PPBATT_VCC""}",,,,,,
CB,Common:dockport_writeRead,,,,,,"{""subsubtestname"": ""FCT_CB_Check"",""pattern"": ""0x01%s*(%w*)""}",,,cbread 0x01 quiet,,,
,Common:dockport_writeRead,,,,,,"{""subsubtestname"": ""DFU_CB_Check"",""pattern"": ""0x00%s*(Passed)""}",,,cbread 0x00,,,
,Common:dockport_writeRead,,,,,,"{""subsubtestname"": ""ICT_CB_Check"",""pattern"": ""0x0A%s*(Passed)""}",,,cbread 0x0A,,,
