name,proposedRate
Power_Discharge_Initial,100
Power_VoltageCheck_Safety_VBAT0V8,100
Power_Discharge_Initial_1,100
Power_VoltageCheck_Safety_VBUS1V25,100
Power_Discharge_Initial_2,100
Power_VoltageCheck_Safety_VBAT4V3,100
Power_Discharge_BatteryFloat,100
Power_VoltageCheck_Safety_VBAT0V4,100
Power_VoltageCheck_Safety_VBUS5V,100
Power_Discharge_Initial_3,100
Power_VoltageCheck_Safety_VBUS5V_1,100
Power_On_Seq,100
USBC_AceFWDL_SPI_VBAT4V3_VBUS5V,100
USBC_ForceDFU_VDM,100
Process_Transition_Diags_DeadBattery2V5,100
Process_MLBSN,100
Process_CB,100
Process_Transition_Diags_VBAT4V3,100
PMU_GPIOCheck,100
Process_Transition_Diags_VBAT4V3_1,100
Transition_Switchover_VBUS5V_NoOrionPWR,100
PMU_Button_Sera,100
DUTInfo_ProjectCode,100
DUTInfo_Site,100
DUTInfo_Info_BoardID,100
DUTInfo_Info_BootConfig,100
DUTInfo_Info_BoardRevision,100
SOC_Info,100
PMU_Info_Sera,100
PMU_Info_Simetra,100
BatteryCharger_Info_Potomac,100
Fixture_TestSetup,100
USBC_AceOTPProgram,100
Mic_GPMLogic_HallSensors,100
Mic_GPMLogic_HallSensors_1,100
Power_VoltageCheck_Active,100
Touch_BoostEfficiency_VBAT4V3,100
Touch_BoostEfficiency_VBAT3V7_VBUSOFF,100
Display_Backlight_MinBrightness_PWMMode_VBAT4V3,100
Display_Backlight_MinBrightness_PWMMode_VBAT3V2,100
Display_Backlight_MinBrightness_PWMMode_VBAT4V3_1,100
Display_Backlight_MedBrightness_PWMMode_VBAT4V3,100
Display_Backlight_MaxBrightness_PWMMode_VBAT4V3,100
Display_Backlight_MaxBrightness_PWMMode_VBAT3V2,100
Display_Backlight_MaxBrightness_PWMMode_VBAT4V3_1,100
Orion_ContactContamination_PWR_GND_150K_4uA,100
Orion_ContactContamination_Data_GND_150K_4uA,100
Orion_ContactContamination_Data_PWR_150K_4uA,100
Orion_ConsumerModeLSAIDcomms_PPVBUS_ORION_5V,100
Orion_GPIOCheck_1,100
Orion_ConsumerModeLSAIDcomms_PPVBUS_ORION_5V_1,100
Orion_SwitchOver_PPVBUS_ORION_5V_NoVBUS,100
Orion_Consumer_Mode_ADCRead,100
Orion_Consumer_Mode_Charging,100
Power_Switchover_PPVBUS_ORION_9V_VBUS5V,100
Orion_ProviderModeLSAIDcomms_Boost5V,100
Orion_Provider_Mode_iLimit,100
Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOff,100
Orion_Provider_Mode_DCR,100
Orion_BoostEfficiency_ProviderMode_VBAT4V3_BoostOn,100
Orion_Consumer_Mode_HSAID_COMMS,100
PMU_FrequencyCheck,100
BatteryCharger_BatteryChargeStatus_VBUS5V,100
BatteryCharger_BrickConnectStatus_VBUS5V,100
PMU_Button_Sera_PullDown,100
BatteryCharger_Battery_Temperature_Sense,100
Power_CurrentCheck_Battery,100
BatteryCharger_Trickle_Charge,100
BatteryCharger_Charge_Mode_Threshold,100
BatteryCharger_Charge_Mode_Threshold,100
BatteryCharger_Stop_Charge,100
BatteryCharger_Battery_Recharge_Threshold,100
Temperature,100
BatteryCharger_Ibus_Limit_Cal,100
BatteryCharger_BuckBoost_Efficiency,100
BatteryCharger_BoostEfficiency_VBAT3V2_VBUS5V,100
BatteryCharger_Ibatt_Limit,100
USBC_LDCM_Initial,100
USBC_LDCM_MUX_Off,100
USBC_LDCM_ZREF_110Hz,100
USBC_LDCM_Trace_Open,100
USBC_LDCM_Trace_1nF,100
USBC_LDCM_Trace_2nF,100
USBC_LDCM_Trace_3nF,100
USBC_LDCM_Trace_1M,100
USBC_LDCM_Trace_1M5,100
USBC_LDCM_Trace_300K1nF5,100
USBC_LDCM_Trace_10K200nF,100
USBC_LDCM_AceSBU1_Open,100
USBC_LDCM_AceSBU1_1nF,100
USBC_LDCM_AceSBU1_2nF,100
USBC_LDCM_AceSBU1_2nF,100
USBC_LDCM_AceSBU1_1M,100
USBC_LDCM_AceSBU1_1M5,100
USBC_LDCM_AceSBU1_300K1nF5,100
USBC_LDCM_AceSBU1_10K200nF,100
USBC_LDCM_AceSBU2_Open,100
USBC_LDCM_AceSBU2_1nF,100
USBC_LDCM_AceSBU2_2nF,100
USBC_LDCM_AceSBU2_3nF,100
USBC_LDCM_AceSBU2_1M,100
USBC_LDCM_AceSBU2_1M5,100
USBC_LDCM_AceSBU2_300K1nF5,100
USBC_LDCM_AceSBU2_10K200nF,100
USBC_LDCM_Loopback,100
USBC_LDCM_MUX_Off_1,100
USBC_LDCM_Trace_Default,100
USBC_LDCM_Trace_OVP5V,100
USBC_LDCM_Trace_OVP0V,100
USBC_LDCM_Trace_OVP17V,100
USBC_LDCM_Trace_OVP0V_1,100
USBC_LDCM_Trace_Default_1,100
USBC_LDCM_End,100
USBC_LDCM_Initial_CC1Enabled_VBUSOn,100
USBC_LDCM_CC1Disabled_VBUSOff,100
USBC_LDCM_CC1Enabled_VBUSOn,100
Mic_FR_Dmic,100
Mic_FR_Dmic_FHC,100
Speaker_Info_Boost_Test,100
Speaker_Info_Boost_Master,100
Speaker_Info_Boost_1,100
Speaker_Info_Boost_Master_IDEL,100
Speaker_Info_Boost_2,100
Speaker_Info_Boost_Master_1,100
Speaker_Info_Boost_3,100
Speaker_AmpIVSense_CNWoofer_Info,100
Speaker_AmpIVSense_CNWoofer_IDLE_Measurement,100
Speaker_AmpIVSense_FHWoofer_Info,100
Speaker_AmpIVSense_FHWoofer_IDLE_Measurement,100
Speaker_AmpIVSense_CN,100
Speaker_AmpIVSense_FH,100
Speaker_AmpIVSense_CN_1,100
Speaker_AmpIVSense_FH_1,100
Speaker_BoostBrownoutThreshold_Master,100
Speaker_BoostCTRL_CN_IDEL,100
Speaker_BoostCTRL_CN_TONE,100
Speaker_BoostCTRL_FH_IDEL,100
Speaker_BoostCTRL_FH_TONE,100
Speaker_BoostIRQCheck_Master_VBAT4V3,100
Speaker_AMP_IRQ_Check,100
Power_Discharge_SpeakerBoost,100
SOC_PerfState_State,100
SOC_PerfState_State0,100
SOC_PerfState_State1,100
SOC_PerfState_State2,100
SOC_PerfState_State3,100
SOC_PerfState_State4,100
SOC_PerfState_State5,100
SOC_PerfState_State6,100
SOC_PerfState_State7,100
SOC_PerfState_State8,100
SOC_PerfState_State9,100
SOC_PerfState_State10,100
SOC_PerfState_State11,100
SOC_PerfState_State12,100
SOC_PerfState_State13,100
SOC_PerfState_State14,100
SOC_PerfState_State15,100
SOC_PerfState_State16,100
SOC_PerfState_State17,100
SOC_PerfState_State18,100
SOC_PerfState_State19,100
Power_CurrentCheck_Hibernation,100
Power_VoltageCheck_Hibernation,100
Power_VoltageCheck_Wakeup,100
Process_Transition_Diags_WakeUp_VBAT4V3_VBUS5V,100
USBC_USB2_Data_Transfer_TOP,100
USBC_USB2_Data_Transfer_BOT,100
USBC_USB_SSPresence_Pair1,100
USBC_USB_SSPresence_Pair2,100
USBC_PdSource_VCON_CC1,100
USBC_PdSource_VCON_CC2,100
SOC_I2C_Connectivity_Check,100
BatteryCharger_IbusLimitCal_PdSink_HCCM_CC_VBAT3V9_VBUS5V3A,100
BatteryCharger_IbusLimitCal_PdSink_HCCM_CC_VBAT4V3_VBUS5V3A,100
BatteryCharger_IbusLimitCal_PdSink_HCCM_CC_VBAT4V3_VBUS12V3A,100
BatteryCharger_IbusLimitCal_PdSink_HCCM_CC_VBAT4V3_VBUS15V2A5,100
BatteryCharger_Syscfg_SanityCheck_CBAT,100
PMU_GPIOCheck_2,100
Touch_GPIOCheck,100
PMU_GPIOCheck_4,100
Mesa_GPIOCheck,100
SOC_GPIOCheck,100
USBC_VbusDetect_VBUS4V5,100
Process_CB_1,100
Power_ShutDown,100
Fixture_Reset,100
Power_Discharge_End,100
System_VoltageCheck_Safety_End_VBAT4V3,100
Fixture_Reset_1,100
Power_Discharge_End_1,100
