TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition,Notes
LED_INPROGRESS_ON,Tech:sendLedCommand,,,,,,"{""subsubtestname"":""LED"",""record"":""NO""}",,,led_progress_on,,,
Head,Tech:getSlotID,,,[station_id],,,"{""subsubtestname"":""ID""}",,,,,,
HardwareCheck,Tech:getVendorID,,,,,,"{""subsubtestname"":""VendorID""}",,,,,,
,Tech:getStationName,,,,,,"{""subsubtestname"":""Station"",""record"":""NO""}",,,,,,
SoftwareCheck,Tech:acefw_vs_Mac,,,,,,"{""subsubtestname"":""AceFW_OnMac"",""record"":""NO""}",,,,,,
,Tech:acefw_vs_Xavier,,,,,,"{""subsubtestname"":""AceFW_OnXavier"",""record"":""NO""}",,,,,,
GeneralAction,Tech:resetXavier,,,,,,"{""subsubtestname"":""Reset_Initial"",""record"":""NO""}",,,,,,
HardwareCheck_1,Tech:uutCheck,,,,,,"{""subsubtestname"":""UUT_Presence"",""netname"":""DUT_DTETECT"",""record"":""NO""}",,,,,,
,Tech:snCheck,,[station_id],,,,"{""subsubtestname"":""FixtureSN"",""attribute"":""Fixture_SN"",""record"":""NO""}",,,,,,
,Tech:moduleSNCheck,,,,,,"{""subsubtestname"":""VDM_SN"",""attribute"":""VDM-002"",""record"":""NO""}",,,"vdm_read_serial_number",,,
,Tech:moduleSNCheck,,,,,,"{""subsubtestname"":""EloadSN"",""attribute"":""EL-004"",""record"":""NO""}",,,"eload_read_serial_number",,,
,Tech:moduleSNCheck,,,,,,"{""subsubtestname"":""ScopeSN"",""attribute"":""Scope-007"",""record"":""NO""}",,,"scope_read_serial_number",,,
,Tech:moduleSNCheck,,,,,,"{""subsubtestname"":""OAB3_SN"",""attribute"":""OAB3-001"",""record"":""NO""}",,,"oab3_read_serial_number",,,
SoftwareCheck_1,Tech:fwCheck,,,,,,"{""subsubtestname"":""XavierFW"",""attribute"":""Xavier_FW_Version"",""record"":""NO""}",,,,,,
HardwareCheck_2,Tech:ipCheck,,,,,,"{""subsubtestname"":""XavierIP"",""attribute"":""Xavier_IP"",""record"":""NO""}",,,,,,
TestSetup,Common:dockconfig_writeRead,,,,,,"{""subsubtestname"": ""Stop_Dock""}",,,disable_dc,,,
Test-END,Tech:resetXavier,,,,,,"{""subsubtestname"":""reset"",""record"":""NO""}",,,,,,
Reset,Tech:resetXavier,,,,,,"{""subsubtestname"":""Fixture_Reset"",""record"":""NO""}",,,,,,
Reset_1,Tech:resetXavier,,,,,,"{""subsubtestname"":""Fixture_Reset_2"",""record"":""NO""}",,,,,,
LED_RED_ON,Tech:sendLedCommand,,,,,,"{""subsubtestname"":""LED_RED_ON"",""record"":""NO""}",,,led_red_on,,,
LED_GREEN_ON,Tech:sendLedCommand,,,,,,"{""subsubtestname"":""LED_GREEN_ON"",""record"":""NO""}",,,led_green_on,,,
ResetAll,Tech:resetXavier,,,,,,"{""subsubtestname"":""Fixture_Reset"",""record"":""NO""}",,,,,,
FA_ResetAll,Tech:resetXavier,,,,,,"{""subsubtestname"":""Fixture_Reset"",""record"":""NO""}",,,,,,
