TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition,Notes
GPIOCheck_5,Common:dut_diagsParse,,,,,,"{""subsubtestname"":""Set_SPI2_MESA_SCLK_R_1V8_HIGH"",""record"":""NO""}",,,socgpio --port 0 --pin 128 --output 1,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"": ""SPI2_MESA_SCLK_R_1V8_HIGH"",""pattern"": ""SoC%s*GPIO%s*%[%d*,%d*%]%s*=%s*(%d+)"",""parametric"": ""yes""}",,,socgpio --port 0 --pin 128 --get,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"":""Set_SPI2_MESA_SCLK_R_1V8_LOW"",""record"":""NO""}",,,socgpio --port 0 --pin 128 --output 0,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"": ""SPI2_MESA_SCLK_R_1V8_LOW"",""pattern"": ""SoC%s*GPIO%s*%[%d*,%d*%]%s*=%s*(%d+)"",""parametric"": ""yes""}",,,socgpio --port 0 --pin 128 --get,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"":""Set_SPI2_MESA_MOSI_1V8_HIGH"",""record"":""NO""}",,,socgpio --port 0 --pin 129 --output 1,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"": ""SPI2_MESA_MOSI_1V8_HIGH"",""pattern"": ""SoC%s*GPIO%s*%[%d*,%d*%]%s*=%s*(%d+)"",""parametric"": ""yes""}",,,socgpio --port 0 --pin 129 --get,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"":""Set_SPI2_MESA_MOSI_1V8_LOW"",""record"":""NO""}",,,socgpio --port 0 --pin 129 --output 0,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"": ""SPI2_MESA_MOSI_1V8_LOW"",""pattern"": ""SoC%s*GPIO%s*%[%d*,%d*%]%s*=%s*(%d+)"",""parametric"": ""yes""}",,,socgpio --port 0 --pin 129 --get,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"":""Set_SPI2_MESA_MISO_1V8_HIGH"",""record"":""NO""}",,,socgpio --port 0 --pin 130 --output 1,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"": ""SPI2_MESA_MISO_1V8_HIGH"",""pattern"": ""SoC%s*GPIO%s*%[%d*,%d*%]%s*=%s*(%d+)"",""parametric"": ""yes""}",,,socgpio --port 0 --pin 130 --get,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"":""Set_SPI2_MESA_MISO_1V8_LOW"",""record"":""NO""}",,,socgpio --port 0 --pin 130 --output 0,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"": ""SPI2_MESA_MISO_1V8_LOW"",""pattern"": ""SoC%s*GPIO%s*%[%d*,%d*%]%s*=%s*(%d+)"",""parametric"": ""yes""}",,,socgpio --port 0 --pin 130 --get,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"":""Set_GPIO_MESA_TO_SOC_IRQ_1V8_HIGH"",""record"":""NO""}",,,socgpio --port 0 --pin 131 --output 1,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"": ""GPIO_MESA_TO_SOC_IRQ_1V8_HIGH"",""pattern"": ""SoC%s*GPIO%s*%[%d*,%d*%]%s*=%s*(%d+)"",""parametric"": ""yes""}",,,socgpio --port 0 --pin 131 --get,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"":""Set_GPIO_MESA_TO_SOC_IRQ_1V8_LOW"",""record"":""NO""}",,,socgpio --port 0 --pin 131 --output 0,,,
,Common:dut_diagsParse,,,,,,"{""subsubtestname"": ""GPIO_MESA_TO_SOC_IRQ_1V8_LOW"",""pattern"": ""SoC%s*GPIO%s*%[%d*,%d*%]%s*=%s*(%d+)"",""parametric"": ""yes""}",,,socgpio --port 0 --pin 131 --get,,,
