TestName,TestActions,Disable,Input,Output,Timeout,Retries,AdditionalParameters,ExitEarly,SetPoison,Commands,FA,Condition,Notes
Discharge_Initial,Common:relay_switch,,,,,,"{""subsubtestname"":""PPVBUS_USB_EMI_DISCHARGE_CONNECT"",""netname"":""PPVBUS_USB_EMI_DISCHARGE"",""state"":""CONNECT"",""record"":""NO""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""PPBATT_VCC_DISCHARGE_CONNECT"",""netname"":""PPBATT_VCC_DISCHARGE"",""state"":""CONNECT"",""record"":""NO""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""PPVCC_MAIN_DISCHARGE_CONNECT"",""netname"":""PPVCC_MAIN_DISCHARGE"",""state"":""CONNECT"",""record"":""NO""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""PPVCC_HIGH_DISCHARGE_CONNECT"",""netname"":""PPVCC_HIGH_DISCHARGE"",""state"":""CONNECT"",""record"":""NO""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""SPK_BST_Discharge"",""netname"":""PPV_BST_AUDIO_DISCHARGE"",""state"":""CONNECT"",""record"":""NO""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_1000MS_After_Connect_Discharge"",""delay"":""1000"",""record"":""NO""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""PPVBUS_USB_EMI_DISCHARGE_DISCONNECT"",""netname"":""PPVBUS_USB_EMI_DISCHARGE"",""state"":""DISCONNECT"",""record"":""NO""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""PPBATT_VCC_DISCHARGE_DISCONNECT"",""netname"":""PPBATT_VCC_DISCHARGE"",""state"":""DISCONNECT"",""record"":""NO""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""PPVCC_MAIN_DISCHARGE_DISCONNECT"",""netname"":""PPVCC_MAIN_DISCHARGE"",""state"":""DISCONNECT"",""record"":""NO""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""PPVCC_HIGH_DISCHARGE_DISCONNECT"",""netname"":""PPVCC_HIGH_DISCHARGE"",""state"":""DISCONNECT"",""record"":""NO""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""SPK_BST_Discharge_Disable"",""netname"":""PPV_BST_AUDIO_DISCHARGE"",""state"":""DISCONNECT"",""record"":""NO""}",,,,,,
VoltageCheck_Safety_VBAT0V8,Common:sendFixtureCmd,,,,,,"{""subsubtestname"":""UUT_UART_ENABLE"",""record"":""NO""}",,,uart_enable,,,
,Common:sendFixtureCmd,,,,,,"{""subsubtestname"":""Bellatrix_UART_ENABLE"",""record"":""NO""}",,,bellatrix_uart_enable,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""BATT_POWER_ON"",""netname"":""BATT_OUTPUT_CTL"",""state"":""ON"",""record"":""NO""}",,,,,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_10MS_1"",""delay"":""10"",""record"":""NO""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""BATT_MODE_TO_SMALL"",""netname"":""BATT_MODE_CTL"",""state"":""SMALL"",""record"":""NO""}",,,,,,
,Common:power_supply,,,,,,"{""subsubtestname"":""VBATT_SET_0V8"",""powertype"":""batt"",""start"":""0"",""stop"":""800"",""step"":""80"",""record"":""NO""}",,,,FA_ResetAll,,
,Common:delay,,,,,,"{""subsubtestname"":""DELAY_100MS_1"",""delay"":""100"",""record"":""NO""}",,,,,,
,Common:read_voltage,,,,,,"{""subsubtestname"":""PPBATT_VCC_FB"",""netname"":""PPBATT_VCC""}",,,,,,
,Common:relay_switch,,,,,,"{""subsubtestname"":""BATT_POWER_OFF"",""netname"":""BATT_OUTPUT_CTL"",""state"":""OFF"",""record"":""NO""}",,,,,,
,Common:power_supply,,,,,,"{""subsubtestname"":""VBATT_SET_0V"",""powertype"":""batt"",""record"":""NO""}",,,0,FA_ResetAll,,
Discharge_Initial_1,Common:relay_switch,,,,,,"{""subsubtestname"":""PPVBUS_USB_EMI_DISCHARGE_CONNECT"",""netname"":""PPVBUS_USB_EMI_DISCHARGE"",""state"":""CONNECT"",""record"":""NO""}",,,,,,
