TestName,SubItem,SubSubItem,test time(s),Atlas_test_time(s),Atlas_SubItem,Atlas_Item,Is_Found,Commnet
Fixture,Initialization,SequenceUnlock,0.000000,0.000000,,,N,
Fixture,Initialization,SystemScheduler,,0.000000,,,,
,,,,,,,,
,,,,,,,,
Fixture,Channel,ID,0.001694,0.008769,Head,Fixture Head ID,Y,long time
Fixture,Channel,SystemScheduler,0.001694,0.008769,,,,
,,,,,,,,
,,,,,,,,
Fixture,HardwareCheck,VendorID,0.001290,0.000363,HardwareCheck,Fixture HardwareCheck VendorID,Y,short time
Fixture,HardwareCheck,Station,0.000728,0.000183,HardwareCheck,Fixture HardwareCheck Station,Y,short time
Fixture,HardwareCheck,SystemScheduler,0.001290+0.000728,0.000546,,,,
,,,,,,,,
,,,,,,,,
Fixture,SoftwareCheck,AceFW_OnMac,0.000722,0.037286,SoftwareCheck,Fixture SoftwareCheck AceFW_OnMac,Y,long time
Fixture,SoftwareCheck,AceFW_OnXavier,0.000700,0.272851,SoftwareCheck,Fixture SoftwareCheck AceFW_OnXavier,Y,long long time
Fixture,SoftwareCheck,SystemScheduler,0.000722+0.000700,0.310137,,,,
,,,,,,,,
,,,,,,,,
Fixture,GeneralAction,Reset_Initial,0.000783,1.714157,GeneralAction,Fixture GeneralAction Reset_Initial,Y,long long time
Fixture,GeneralAction,SystemScheduler,0.000783,1.714157,,,,
,,,,,,,,
,,,,,,,,
Fixture,HardwareCheck,UUT_Presence,0.000770,0.095784,HardwareCheck_1,Fixture HardwareCheck_1 UUT_Presence,Y,long time
Fixture,HardwareCheck,FixtureSN,0.600137,0.007697,HardwareCheck_1,Fixture HardwareCheck_1 FixtureSN,Y,short short time
Fixture,HardwareCheck,FixtureSanitySN,0.014178,0.000000,,,N,
Fixture,HardwareCheck,VDM_SN,0.007668,0.006225,HardwareCheck_1,Fixture HardwareCheck_1 VDM_SN,Y,short time
Fixture,HardwareCheck,EloadSN,0.014029,0.007927,HardwareCheck_1,Fixture HardwareCheck_1 EloadSN,Y,short time
Fixture,HardwareCheck,ScopeSN,0.010905,0.015133,HardwareCheck_1,Fixture HardwareCheck_1 ScopeSN,Y,long time
Fixture,HardwareCheck,OAB3_SN,0.009586,0.010689,HardwareCheck_1,Fixture HardwareCheck_1 OAB3_SN,Y,long time
Fixture,HardwareCheck,SystemScheduler,0.000770+0.600137+0.007668+0.014029+0.010905+0.009586,0.143455,,,,
,,,,,,,,
,,,,,,,,
Fixture,SoftwareCheck,XavierFW,0.006137,0.005720,SoftwareCheck_1,Fixture SoftwareCheck_1 XavierFW,Y,short time
Fixture,SoftwareCheck,SystemScheduler,0.006137,0.005720,,,,
,,,,,,,,
,,,,,,,,
Fixture,HardwareCheck,XavierIP,0.052990,0.061935,HardwareCheck_2,Fixture HardwareCheck_2 XavierIP,Y,long time
Fixture,HardwareCheck,SystemScheduler,0.052990,0.061935,,,,
,,,,,,,,
,,,,,,,,
Power,Discharge_Initial,PPVBUS_USB_EMI_DISCHARGE_CONNECT,0.006155,0.007006,Discharge_Initial,Power Discharge_Initial PPVBUS_USB_EMI_DISCHARGE_CONNECT,Y,long time
